ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,worldMapPieceId,textId,pad1,areaNo,gridXNo,gridZNo,pad2,posX,posY,posZ,
1,,0,0,[0|0|0],-1,1000,[0|0|0|0],10,0,0,0,-238.22,78.23,383.15
8000000,,0,0,[0|0|0],0,8000000,[0|0|0|0],10,0,0,0,-750.64,-273.18,-66.63
8000400,,1,0,[0|0|0],4,8000400,[0|0|0|0],60,41,46,0,-119.35,342.88,96.48
8000800,,1,0,[0|0|0],8,8000800,[0|0|0|0],60,39,55,0,70.4,748.1,615.7
8000900,,1,0,[0|0|0],9,8000900,[0|0|0|0],60,48,36,0,255.99,109.6,-218.16
8001200,,1,0,[0|0|0],12,8001200,[0|0|0|0],60,49,52,0,1256.64,1099.75,-192.75
8010000,,1,0,[0|0|0],100,8010000,[0|0|0|0],12,1,0,0,-578.87,-22.73,834.53
8010200,,1,0,[0|0|0],102,8010200,[0|0|0|0],12,2,0,0,1553.29,-718.62,2496.44
8010400,,1,0,[0|0|0],104,8010400,[0|0|0|0],12,3,0,0,-632.16,255.73,654.52
8020000,,0,0,[0|0|0],1000,8020000,[0|0|0|0],61,46,40,0,-870.59,359.32,-404.36
