ID,Name,Unknown0,Unknown1,Unknown2,Unknown3,
0,,0,0,0,0
6800,,0,241353,662160,0
6820,,0,241352,1317520,0
6830,,0,241338,1972880,0
6840,,0,241341,2628240,0
6850,,0,241340,4594320,0
6851,,0,241339,3938960,0
6860,,0,241344,2628340,0
6900,,0,241337,662260,0
6920,,0,241343,2642440,0
6940,,0,241342,1986080,0
6950,,0,241354,2641440,0
10000,,0,241300,665360,0
10010,,0,241301,1320720,0
11000,,0,241302,666360,0
11050,,0,241303,1977080,0
11100,,0,241304,666460,0
12010,,0,241305,1322720,0
12011,,0,241306,1978080,0
12012,,0,241307,667360,0
12020,,0,241308,667361,0
12030,,0,241310,667362,0
12050,,0,241311,1978081,0
12070,,0,241309,1322721,0
13000,,0,241312,668360,0
14000,,0,241313,669360,0
15000,,0,241315,1325720,0
15001,,0,241314,670360,0
16000,,0,241316,671360,0
18000,,0,241317,781896,0
19000,,0,241318,2632440,0
20000,,0,241345,675360,0
20010,,0,241346,1330720,0
21000,,0,241347,676360,0
21001,,0,241348,1331720,0
21010,,0,241349,1987080,0
22000,,0,241350,3283600,0
28000,,0,241351,3283700,0
35000,,0,241319,1321720,0
39200,,0,241320,2028080,0
61000,,0,241321,716360,0
61001,,0,241322,1371720,0
61002,,0,241323,2027080,0
62000,,0,241324,717360,0
62001,,0,241325,1372720,0
62002,,0,241326,2683440,0
63000,,0,241327,718360,0
63001,,0,241328,1373720,0
63002,,0,241329,2029080,0
63003,,0,241330,720360,0
64000,,0,241331,719360,0
64001,,0,241332,2030080,0
64002,,0,241336,1374720,0
65000,,0,241333,1375720,0
65001,,0,241334,2031080,0
65002,,0,241335,2686440,0
