ID,Name,equipId,value,mtrlId,eventFlag_forStock,eventFlag_forRelease,sellQuantity,pad3,equipType,costType,pad1,setNum,value_Add,value_Magnification,iconId,nameMsgId,menuTitleMsgId,menuIconId,pad2,
1,,240,100,-1,0,0,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30000,,150,0,300000,0,0,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30100,,300,0,301000,0,0,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30101,,301,0,301010,0,67260,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30102,,302,0,301020,0,67250,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30103,,320,0,301030,0,68010,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30104,,321,0,301040,0,68020,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30105,,330,0,301050,0,67800,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30106,,340,0,301060,0,67910,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30107,,350,0,301070,0,67610,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30108,,351,0,301080,0,67630,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30109,,360,0,301090,0,67460,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30110,,370,0,301100,0,67870,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30111,,380,0,301110,0,67100,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30112,,390,0,301120,0,67120,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30113,,391,0,301130,0,67830,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30114,,400,0,301140,0,0,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30115,,420,0,301150,0,68010,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30116,,430,0,301160,0,67800,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30117,,440,0,301170,0,67870,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30118,,450,0,301180,0,67100,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30119,,460,0,301190,0,67400,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30120,,470,0,301200,0,67910,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30122,,490,0,301220,0,67230,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30123,,510,0,301230,0,67610,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30124,,600,0,301240,0,67230,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30125,,610,0,301250,0,67480,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30126,,630,0,301260,0,67060,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30127,,640,0,301270,0,68200,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30128,,650,0,301280,0,67430,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30129,,660,0,301290,0,67400,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30130,,661,0,301300,0,67440,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30131,,670,0,301310,0,67890,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30200,,810,0,302000,0,0,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30201,,811,0,302010,0,67070,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30202,,812,0,302020,0,67090,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30300,,900,0,303000,0,67210,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30301,,910,0,303010,0,67050,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30302,,920,0,303020,0,67290,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30303,,930,0,303030,0,67290,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30304,,940,0,303040,0,67300,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30305,,950,0,303050,0,68230,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30306,,960,0,303060,0,68400,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30400,,1100,0,304000,0,67010,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30401,,1110,0,304010,0,67310,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30402,,1120,0,304020,0,67110,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30403,,1130,0,304030,0,67090,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30404,,1140,0,304040,0,67270,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30405,,1150,0,304050,0,67220,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30406,,1160,0,304060,0,67200,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30407,,1170,0,304070,0,68020,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30408,,1180,0,304080,0,67130,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30409,,1190,0,304090,0,67650,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30410,,1200,0,304100,0,67600,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30411,,1210,0,304110,0,67280,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30413,,1310,0,304130,0,67310,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30414,,1320,0,304140,0,67110,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30415,,1330,0,304150,0,67090,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30416,,1340,0,304160,0,67270,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30500,,1400,0,305000,0,67200,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30501,,1410,0,305010,0,68000,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30502,,1420,0,305020,0,67420,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
30503,,1430,0,305030,0,67640,-1,0,3,0,0,1,0,1,-1,-1,-1,-1,[0|0]
