ID,Name,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,
10,,1,12632256,-68000,3276850,0,0,0,0,65471463,65471463
11,,1,9474192,-68000,65471463,1,352,-68000,-69000,3342386,3342386
12,,1,9486480,-68000,65471463,1,352,-68000,-69001,3342386,3342386
15,,1,0,68000,3276850,0,0,0,0,65471463,65471463
20,,1,6316128,-69000,3342387,0,0,0,0,65471463,65471463
22,,1,10367152,-69000,65471463,1,530,-69000,-69200,3342387,3342387
23,,0,6842472,0,65471463,1,320,-69000,69000,3342387,3342387
25,,1,7368816,69000,3342387,0,0,0,0,65471463,65471463
26,,1,8421504,0,65471463,1,375,69000,-69000,3342387,3342387
30,,1,6332512,-69001,3342897,0,0,0,0,65471463,65471463
31,,0,6324320,-69000,65471463,1,360,-69001,-69000,3342897,3342387
33,,0,3190832,-69000,65471463,1,360,-69001,-69400,3408433,3407923
35,,0,7905400,69001,3342387,0,0,0,0,65471463,65471463
36,,0,7381104,-69000,65471463,1,360,69001,-69000,3342387,3342387
50,,1,16711680,-68300,3277361,0,0,0,0,65471463,65471463
51,,1,8409984,-68300,65471463,1,70,-68300,-68501,36766257,3276850
52,,0,12598592,-68300,65471463,1,70,-68300,-68400,36766257,3276850
55,,0,0,0,3276850,0,0,0,0,65471463,65471463
60,,1,255,-68500,3277360,0,0,0,0,65471463,65471463
65,,0,0,0,3277360,0,0,0,0,65471463,65471463
70,,1,33023,-68501,3277360,0,0,0,0,65471463,65471463
75,,0,51711,68501,3277360,0,0,0,0,65471463,65471463
76,,0,6342112,68501,65471463,1,352,68501,-68000,3276850,3276850
80,,0,16776960,-68400,3277361,0,0,0,0,65471463,65471463
81,,0,14737504,-68400,65471463,1,200,-68400,-68000,3276850,3276850
90,,0,65280,-69400,3407924,0,0,0,0,65471463,65471463
95,,0,0,0,3407924,0,0,0,0,65471463,65471463
100,,0,14418175,-69200,3342387,0,0,0,0,65471463,65471463
105,,0,0,0,3342387,0,0,0,0,65471463,65471463
110,,1,65535,-68600,3276854,0,0,0,0,65471463,65471463
111,,1,6349024,-68600,65471463,1,65336,-68600,-68000,3276854,3276850
112,,1,3190960,-68600,65471463,1,65336,-68600,-69000,3342390,3342386
113,,1,16639,-68600,65471463,1,65336,-68600,-68500,36700214,3276850
114,,1,49407,-68600,65471463,1,65336,-68600,-68501,36700214,3276850
115,,1,58623,-68600,65471463,1,65336,-68600,68501,36700214,3276850
116,,1,6348928,-68600,65471463,1,65336,-68600,-68400,36700214,3276850
117,,1,0,0,3276854,0,0,0,0,65471463,65471463
118,,0,0,0,65471463,0,0,0,0,65471463,65471463
120,,1,14647040,-68200,3276850,0,0,0,0,65471463,65471463
121,,1,12680960,68200,3276850,0,0,0,0,65471463,65471463
255,,0,0,0,65471463,0,0,0,0,65471463,65471463
