ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,mapRegionId,Reserve,
10000000,Stormveil Castle,0,0,[0|0|0],1000,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
10010000,Chapel of Anticipation,1,0,[0|0|0],1001,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
11000000,Leyndell- Royal Capital,1,0,[0|0|0],1100,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
11050000,Leyndell- Ashen Capital,1,0,[0|0|0],1105,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
11100000,,1,0,[0|0|0],1110,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
11710000,,1,0,[0|0|0],1171,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
12010000,Ainsel River,1,0,[0|0|0],1201,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
12020000,Siofra River,1,0,[0|0|0],1202,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
12030000,Deeproot Depths,1,0,[0|0|0],1203,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
12040000,Ainsel River - Boss,1,0,[0|0|0],1204,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
12050000,Mohgwyn Palace,1,0,[0|0|0],1205,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
12060000,,1,0,[0|0|0],1206,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
12070000,,1,0,[0|0|0],1207,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
