ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,bonusSoul_single,bonusSoul_multi,humanityPointCountFlagIdTop,humanityDropPoint1,humanityDropPoint2,humanityDropPoint3,humanityDropPoint4,humanityDropPoint5,humanityDropPoint6,humanityDropPoint7,humanityDropPoint8,humanityDropPoint9,humanityDropPoint10,soloBreakInPoint_Min,soloBreakInPoint_Max,defeatBossFlagId_forSignAimList,displayAimFlagId,foundBossFlagId,foundBossTextId,notFindBossTextId,bossChallengeFlagId,defeatBossFlagId,bossPosX,bossPosY,bossPosZ,bossMapAreaNo,bossMapBlockNo,bossMapMapNo,reserve,
0,,0,0,[0|0|0],10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,-1,-1,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0]
1,,0,0,[0|0|0],10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,-1,-1,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0]
10000800,[Stormveil Castle] Godrick the Grafted,1,0,[0|0|0],20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,10000800,0,10000801,-1,-1,0,10000800,-233.64,73.69,349.6,10,0,0,[0|0|0|0|0|0|0|0|0]
10000850,[Stormveil Castle] Margit the Fell Omen,0,0,[0|0|0],12000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,10000850,82100,10000851,1000101,1000100,0,10000850,-16.94,-2.75,-17.6,10,0,0,[0|0|0|0|0|0|0|0|0]
10010800,[Chapel of Anticipation] Grafted Scion,1,0,[0|0|0],3200,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,10000850,82100,10000851,1000101,1000100,0,10010800,-16.94,-2.75,-17.6,10,1,0,[0|0|0|0|0|0|0|0|0]
11000800,[Leyndell- Royal Capital] Morgott- the Omen King,1,0,[0|0|0],120000,120000,0,0,0,0,0,0,0,0,0,0,0,0,0,30020800,82103,30020801,3002100,3002000,0,11000800,67.41,79,-455.18,11,0,0,[0|0|0|0|0|0|0|0|0]
11000850,[Leyndell- Royal Capital] Godfrey- First Elden Lord,1,0,[0|0|0],80000,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,30020800,82103,30020801,3002100,3002000,0,11000850,-131.56,31.01,-386.36,11,0,0,[0|0|0|0|0|0|0|0|0]
11050800,[Leyndell Ashen Capital] Hoarah Loux,1,0,[0|0|0],300000,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,30020800,82103,30020801,3002100,3002000,0,11050800,41.02,65.12,-421.28,11,5,0,[0|0|0|0|0|0|0|0|0]
11050850,[Leyndell Ashen Capital] Sir Gideon Ofnir,0,0,[0|0|0],150000,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,30020800,82103,30020801,3002100,3002000,0,11050850,-132.34,31.03,-386.62,11,5,0,[0|0|0|0|0|0|0|0|0]
12010800,[Ainsel River] Dragonkin Soldier of Nokstella,1,0,[0|0|0],12000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,30020800,82103,30020801,3002100,3002000,0,12010800,-193,-224.5,59.76,12,1,0,[0|0|0|0|0|0|0|0|0]
12010850,[Ainsel River] Dragonkin Soldier (Lake of Rot),1,0,[0|0|0],58000,58000,0,0,0,0,0,0,0,0,0,0,0,0,0,30020800,82103,30020801,3002100,3002000,0,12010850,-224.54,-317.06,-306.44,12,1,0,[0|0|0|0|0|0|0|0|0]
12020800,[Siofra River] Valiant Gargoyles,1,0,[0|0|0],30000,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,30020800,82103,30020801,3002100,3002000,0,12020800,1213.21,-619.69,1934.45,12,2,0,[0|0|0|0|0|0|0|0|0]
