ID,Name,Unknown0,Unknown1,Unknown2,Unknown3,
0,,1,-1,-1,0
6800,,1,241417,8000,68
6900,,1,241418,9000,69
10000,,0,241401,1010,10
11000,,0,241402,3020,11
11100,,0,241400,-1,1
12000,,0,241407,6000,40
12001,,0,241408,6100,41
12002,,0,241409,6200,42
13000,,0,241403,7000,13
14000,,0,241404,2010,14
15000,,0,241405,5010,15
16000,,0,241406,3010,16
20000,,1,241419,8010,20
21000,,1,241420,9010,21
61000,,0,241410,1000,61
62000,,0,241411,2000,62
63000,,0,241412,3000,63
64000,,0,241413,4000,64
65000,,0,241414,5000,65
