ID,Name,variationId,behaviorJudgeId,ezStateBehaviorType_old,refType,pad2,refId,consumeSA,stamina,consumeDurability,category,heroPoint,pad1,
0,,0,0,0,0,[0|0],-1,0,0,0,0,0,[0|0]
5,,0,0,0,0,[0|0],4,0,0,0,0,0,[0|0]
7,,0,0,3,2,[0|0],4,0,0,0,0,0,[0|0]
12,,0,0,0,2,[0|0],6,0,0,0,0,0,[0|0]
13,,0,0,0,2,[0|0],7,0,0,0,0,0,[0|0]
15,,0,0,0,2,[0|0],10,0,0,0,0,0,[0|0]
16,,0,0,0,2,[0|0],11,0,0,0,0,0,[0|0]
17,,0,0,0,2,[0|0],12,0,0,0,0,0,[0|0]
50,,0,0,0,1,[0|0],50,0,0,0,0,0,[0|0]
101,,0,0,0,2,[0|0],8,0,0,0,0,0,[0|0]
102,,0,0,0,2,[0|0],9,0,0,0,0,0,[0|0]
201,,0,0,0,2,[0|0],201,0,0,0,0,0,[0|0]
202,,0,0,0,2,[0|0],202,0,0,0,0,0,[0|0]
203,,0,0,0,2,[0|0],203,0,0,0,0,0,[0|0]
206,,0,0,0,2,[0|0],206,0,0,0,0,0,[0|0]
207,,0,0,0,2,[0|0],207,0,0,0,0,0,[0|0]
208,,0,0,0,2,[0|0],208,0,0,0,0,0,[0|0]
211,,0,0,0,2,[0|0],211,0,0,0,0,0,[0|0]
212,,0,0,0,2,[0|0],212,0,0,0,0,0,[0|0]
221,,0,0,0,2,[0|0],221,0,0,0,0,0,[0|0]
222,,0,0,0,2,[0|0],222,0,0,0,0,0,[0|0]
231,,0,0,0,2,[0|0],231,0,0,0,0,0,[0|0]
232,,0,0,0,2,[0|0],232,0,0,0,0,0,[0|0]
236,,0,0,0,2,[0|0],236,0,0,0,0,0,[0|0]
237,,0,0,0,2,[0|0],237,0,0,0,0,0,[0|0]
311,,0,0,0,2,[0|0],311,0,0,0,0,0,[0|0]
312,,0,0,0,2,[0|0],312,0,0,0,0,0,[0|0]
321,,0,0,0,2,[0|0],321,0,0,0,0,0,[0|0]
322,,0,0,0,2,[0|0],322,0,0,0,0,0,[0|0]
331,,0,0,0,2,[0|0],331,0,0,0,0,0,[0|0]
332,,0,0,0,2,[0|0],332,0,0,0,0,0,[0|0]
336,,0,0,0,2,[0|0],336,0,0,0,0,0,[0|0]
337,,0,0,0,2,[0|0],337,0,0,0,0,0,[0|0]
900,,0,0,0,0,[0|0],900,0,0,0,0,0,[0|0]
901,,0,0,0,0,[0|0],901,0,0,0,0,0,[0|0]
1000,,40200,300,2,1,[0|0],4020200,0,0,0,6,0,[0|0]
1001,,40200,300,2,1,[0|0],4020203,0,0,0,6,0,[0|0]
1010,,13100,700,2,1,[0|0],1310700,0,0,0,6,0,[0|0]
1011,,13100,710,2,1,[0|0],1310710,0,0,0,6,0,[0|0]
1020,,40500,990,2,0,[0|0],1020,0,0,0,6,0,[0|0]
1040,,21500,30,2,1,[0|0],2150030,0,0,0,6,0,[0|0]
1045,,32510,912,2,1,[0|0],3251912,0,0,0,6,0,[0|0]
1050,,39100,115,2,1,[0|0],3910115,0,0,0,6,0,[0|0]
1051,,36610,170,2,1,[0|0],3661170,0,0,0,6,0,[0|0]
1052,,36610,190,2,1,[0|0],3661190,0,0,0,6,0,[0|0]
1060,,45200,400,2,1,[0|0],4520400,0,0,0,6,0,[0|0]
1070,,47100,600,2,1,[0|0],4710600,0,0,0,6,0,[0|0]
1071,,47100,600,2,0,[0|0],4710600,0,0,0,6,0,[0|0]
1080,,45600,520,2,1,[0|0],4560520,0,0,0,6,0,[0|0]
1090,,45100,840,2,1,[0|0],4510840,0,0,0,6,0,[0|0]
1100,,36500,305,2,1,[0|0],3650305,0,0,0,6,0,[0|0]
1120,,42100,860,2,1,[0|0],4210860,0,0,0,6,0,[0|0]
1130,,0,0,0,1,[0|0],4510980,0,0,0,0,0,[0|0]
1131,,0,0,0,1,[0|0],4510960,0,0,0,0,0,[0|0]
