ID,Name,resId,pad1,textId,seId,canMixMapName,pad3,pad2,
0,,0,[0|0],-1,-1,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1,DEMIGOD FELLED,1,[0|0],331301,888880000,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
2,LEGEND FELLED,2,[0|0],331302,888880000,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
3,GREAT ENEMY FELLED,3,[0|0],331303,888880000,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
4,ENEMY FELLED,4,[0|0],331304,888880000,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
5,YOU DIED,5,[0|0],331305,999999999,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
7,HOST VANQUISHED,7,[0|0],331307,444444441,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
8,BLOODY FINGER VANQUISHED,8,[0|0],331308,444444440,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
9,DUTY FULFILLED,9,[0|0],331309,444444446,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
11,LOST GRACE DISCOVERED,11,[0|0],331311,444444444,1,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
13,COMMENCE,13,[0|0],331313,444444445,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
14,VICTORY,14,[0|0],331314,444444447,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
15,STALEMATE,15,[0|0],331315,444444448,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
16,DEFEAT,16,[0|0],331316,444444449,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
17,MAP FOUND,17,[0|0],331317,888888887,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
21,GREAT RUNE RESTORED,21,[0|0],331321,888888891,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
22,GOD SLAIN,22,[0|0],331322,888880001,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
23,DUELIST VANQUISHED,8,[0|0],331323,444444440,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
24,RECUSANT VANQUISHED,8,[0|0],331324,444444440,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
25,INVADER VANQUISHED,8,[0|0],331325,444444440,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
30,FURLED FINGER RANK ADVANCED,30,[0|0],331330,888888892,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
31,FURLED FINGER RANK ADVANCED,30,[0|0],331331,888888892,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
32,DUELIST RANK ADVANCED,30,[0|0],331332,888888892,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
33,DUELIST RANK ADVANCED,30,[0|0],331333,888888892,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
34,BLOODY FINGER RANK ADVANCED,30,[0|0],331334,888888892,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
35,BLOODY FINGER RANK ADVANCED,30,[0|0],331335,888888892,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
36,RECUSANT RANK ADVANCED,30,[0|0],331336,888888892,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
37,RECUSANT RANK ADVANCED,30,[0|0],331337,888888892,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
38,HUNTER RANK ADVANCED,30,[0|0],331338,888888892,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
39,HUNTER RANK ADVANCED,30,[0|0],331339,888888892,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
50,YOU DIED,50,[0|0],331305,999999999,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
