ID,Name,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,
10,,0,12632256,680000000,0,0,-1,-1
11,,0,9474192,-1,1,352,680000000,690000000
12,,0,13672544,-1,1,317,680000000,682000000
13,,0,13148256,-1,1,309,680000000,682000000
14,,0,14737632,680000100,0,0,-1,-1
15,,0,14647040,682000000,0,0,-1,-1
16,,0,10514480,-1,1,382,682000000,690000000
20,,0,6316128,690000000,0,0,-1,-1
21,,0,6356832,-1,1,400,690000000,694000000
22,,0,10367152,-1,1,530,690000000,692000000
30,,0,16711680,683000000,0,0,-1,-1
31,,0,12598592,-1,1,70,683000000,684000000
32,,0,8409984,-1,1,70,683000000,684100000
33,,0,8410028,-1,1,70,683000000,685000000
40,,0,16776960,684000000,0,0,-1,-1
41,,0,14737504,-1,1,200,684000000,680000000
50,,0,33023,684100000,0,0,-1,-1
51,,0,6342112,-1,1,352,684000000,680000000
60,,0,225,685000000,0,0,-1,-1
61,,0,240,-1,1,600,685000000,685100000
65,,0,255,685100000,0,0,-1,-1
70,,0,14418116,692000000,0,0,-1,-1
80,,0,65535,686000000,0,0,-1,-1
81,,0,6349024,-1,1,65336,686000000,680000000
82,,0,1612956,-1,1,65336,686000000,690000000
83,,0,6348928,-1,1,65336,686000000,684000000
84,,0,49407,-1,1,65336,686000000,684100000
85,,0,16639,-1,1,65336,686000000,685100000
90,,0,65280,694000000,0,0,-1,-1
255,,0,0,-1,0,0,-1,-1
