ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,ReverbType,pad0,BgmBehaviorTypeOnStart,OneShotBgmBehaviorOnStart,PostPlaySeId,PostPlaySeIdForSkip,EnterMapMuteStopTimeOnDrawCutscene,unknown_0x18,unknown_0x19,unknown_0x1a,unknown_0x1b,reserved,reserved2,
0,,0,0,[0|0|0],0,[0|0|0],0,0,-1,-1,-1,0,0,128,191,[0|0|0|0],[0|0|0|0]
10000010,,0,0,[0|0|0],1,[0|0|0],2,0,-1,-1,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
10000020,,1,0,[0|0|0],1,[0|0|0],2,0,-1,-1,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
10000030,,1,0,[0|0|0],1,[0|0|0],2,0,-1,-1,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
10000040,,1,0,[0|0|0],1,[0|0|0],2,0,999999002,999999002,-1,0,0,128,191,[0|0|0|0],[0|0|0|0]
10000050,,1,0,[0|0|0],1,[0|0|0],0,0,-1,-1,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
10010000,,1,0,[0|0|0],1,[0|0|0],2,0,999999003,999999003,-1,0,0,128,191,[0|0|0|0],[0|0|0|0]
10010001,,1,0,[0|0|0],1,[0|0|0],2,0,999999003,999999003,-1,0,0,128,191,[0|0|0|0],[0|0|0|0]
10010010,,1,0,[0|0|0],1,[0|0|0],2,0,999999003,999999003,-1,0,0,128,191,[0|0|0|0],[0|0|0|0]
11000040,,1,0,[0|0|0],1,[0|0|0],2,0,-1,-1,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
11050010,,1,0,[0|0|0],1,[0|0|0],2,0,-1,-1,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
11050020,,1,0,[0|0|0],1,[0|0|0],2,0,-1,-1,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
12010000,,1,0,[0|0|0],5,[0|0|0],2,0,999999002,999999002,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
12010001,,1,0,[0|0|0],5,[0|0|0],2,0,999999100,999999100,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
12020000,,1,0,[0|0|0],5,[0|0|0],2,0,999999002,999999002,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
12020001,,1,0,[0|0|0],5,[0|0|0],2,0,999999100,999999100,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
12020020,,1,0,[0|0|0],5,[0|0|0],2,0,-1,-1,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
12020021,,1,0,[0|0|0],5,[0|0|0],2,0,-1,-1,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
12020022,,1,0,[0|0|0],5,[0|0|0],2,0,-1,-1,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
12030010,,1,0,[0|0|0],5,[0|0|0],2,0,999999002,999999002,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
12030011,,1,0,[0|0|0],5,[0|0|0],2,0,999999100,999999100,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
12030020,,1,0,[0|0|0],5,[0|0|0],2,0,-1,-1,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
12030021,,1,0,[0|0|0],5,[0|0|0],2,0,-1,-1,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
12050020,,1,0,[0|0|0],5,[0|0|0],2,0,-1,-1,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
12060000,,1,0,[0|0|0],5,[0|0|0],2,0,-1,-1,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
13000010,,1,0,[0|0|0],1,[0|0|0],2,0,-1,-1,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
13000040,,1,0,[0|0|0],1,[0|0|0],2,0,-1,555555556,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
13000050,,1,0,[0|0|0],1,[0|0|0],2,0,999999000,999999010,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
13000052,,1,0,[0|0|0],1,[0|0|0],2,0,-1,-1,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
13000054,,1,0,[0|0|0],1,[0|0|0],2,0,-1,-1,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
13000055,,1,0,[0|0|0],1,[0|0|0],2,0,-1,-1,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
13000056,,1,0,[0|0|0],1,[0|0|0],2,0,-1,-1,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
13000058,,1,0,[0|0|0],1,[0|0|0],2,0,-1,-1,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
13000060,,1,0,[0|0|0],1,[0|0|0],2,0,-1,-1,1,0,0,128,191,[0|0|0|0],[0|0|0|0]
