ID,Name,materialId01,materialId02,materialId03,materialId04,materialId05,materialId06,pad_id,itemNum01,itemNum02,itemNum03,itemNum04,itemNum05,itemNum06,pad_num,materialCate01,materialCate02,materialCate03,materialCate04,materialCate05,materialCate06,pad_cate,isDisableDispNum01,isDisableDispNum02,isDisableDispNum03,isDisableDispNum04,isDisableDispNum05,isDisableDispNum06,pad,
0,,1250,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],1,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,0,[0|0],0,0,0,0,0,0,[0|0|0]
1,,10100,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],2,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,0,[0|0],0,0,0,0,0,0,[0|0|0]
2,,10100,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],4,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,0,[0|0],0,0,0,0,0,0,[0|0|0]
3,,10100,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],6,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,0,[0|0],0,0,0,0,0,0,[0|0|0]
4,,10101,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],2,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,0,[0|0],0,0,0,0,0,0,[0|0|0]
5,,10101,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],4,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,0,[0|0],0,0,0,0,0,0,[0|0|0]
6,,10101,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],6,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,0,[0|0],0,0,0,0,0,0,[0|0|0]
7,,10102,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],2,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,0,[0|0],0,0,0,0,0,0,[0|0|0]
8,,10102,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],4,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,0,[0|0],0,0,0,0,0,0,[0|0|0]
9,,10102,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],6,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,0,[0|0],0,0,0,0,0,0,[0|0|0]
10,,10103,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],2,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,0,[0|0],0,0,0,0,0,0,[0|0|0]
11,,10103,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],4,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,0,[0|0],0,0,0,0,0,0,[0|0|0]
12,,10103,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],6,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,0,[0|0],0,0,0,0,0,0,[0|0|0]
13,,10104,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],2,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,0,[0|0],0,0,0,0,0,0,[0|0|0]
14,,10104,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],4,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,0,[0|0],0,0,0,0,0,0,[0|0|0]
15,,10104,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],6,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,0,[0|0],0,0,0,0,0,0,[0|0|0]
16,,10105,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],2,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,0,[0|0],0,0,0,0,0,0,[0|0|0]
