ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,EnableFastTravelEventFlagId,WeatherLotTimeOffsetIngameSeconds,WeatherCreateAssetLimitId,MapAiSightType,SoundIndoorType,ReverbDefaultType,BgmPlaceInfo,EnvPlaceInfo,MapAdditionalSoundBankId,MapHeightForSound,IsEnableBlendTimezoneEnvmap,OverrideGIResolution_XSS,MapLoHiChangeBorderDist_XZ,MapLoHiChangeBorderDist_Y,MapLoHiChangePlayDist,MapAutoDrawGroupBackFacePixelNum,PlayerLigntScale,IsEnableTimezonnePlayerLigntScale,isDisableAutoCliffWind,OpenChrActivateThreshold,MapMimicryEstablishmentParamId,OverrideGIResolution_XSX,Reserve,
0,,0,0,[0|0|0],0,0,-1,0,0,-1,0,0,-1,0,1,-1,40,40,5,32400,1,1,0,-1,-1,-1,[0|0|0|0|0|0|0]
10000000,,0,0,[0|0|0],0,0,-1,1,0,-1,999,100,-1,-273,1,0,25,5,1,32400,1,1,1,-1,-1,0,[0|0|0|0|0|0|0]
10010000,,1,0,[0|0|0],0,0,-1,1,0,-1,180,100,-1,0,1,-1,40,40,5,32400,1,1,1,-1,-1,-1,[0|0|0|0|0|0|0]
11000000,,1,0,[0|0|0],0,0,-1,1,0,-1,110,110,-1,0,1,0,40,20,4,81000,1,1,1,-1,-1,0,[0|0|0|0|0|0|0]
11050000,,1,0,[0|0|0],0,0,-1,1,0,-1,110,110,11005,0,1,0,40,40,5,32400,1,1,1,-1,-1,0,[0|0|0|0|0|0|0]
11100000,,1,0,[0|0|0],0,0,-1,1,0,-1,111,110,11010,0,0,-1,40,40,5,32400,1,1,1,-1,-1,-1,[0|0|0|0|0|0|0]
11700000,,1,0,[0|0|0],0,0,-1,1,0,-1,999,110,-1,0,0,-1,40,40,5,32400,1,1,1,-1,-1,-1,[0|0|0|0|0|0|0]
11710000,,1,0,[0|0|0],0,0,-1,1,0,-1,999,110,-1,0,0,0,40,40,5,32400,1,1,1,-1,-1,0,[0|0|0|0|0|0|0]
11720000,,1,0,[0|0|0],0,0,-1,1,0,-1,999,110,-1,0,0,-1,40,40,5,32400,1,1,1,-1,-1,-1,[0|0|0|0|0|0|0]
12010000,,1,0,[0|0|0],0,0,-1,1,1,-1,120,120,-1,0,0,-1,40,40,5,32400,1,1,0,-1,-1,-1,[0|0|0|0|0|0|0]
