ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,itemId,msgAnimId,cannotUseRiding,pad2,pad1,
0,Bow,0,0,[0|0|0],9000,80000,1,0,[0|0|0]
1,Polite Bow,0,0,[0|0|0],9001,80010,1,0,[0|0|0]
2,My Thanks,0,0,[0|0|0],9002,80020,1,0,[0|0|0]
3,Curtsy,1,0,[0|0|0],9003,80030,1,0,[0|0|0]
4,Reverential Bow,0,0,[0|0|0],9004,80040,1,0,[0|0|0]
5,My Lord,1,0,[0|0|0],9005,80050,1,0,[0|0|0]
6,Warm Welcome,1,0,[0|0|0],9006,80060,1,0,[0|0|0]
7,Wave,0,0,[0|0|0],9007,80070,1,0,[0|0|0]
8,Casual Greeting,1,0,[0|0|0],9008,80080,1,0,[0|0|0]
9,Strength!,0,0,[0|0|0],9009,80090,1,0,[0|0|0]
10,As You Wish,1,0,[0|0|0],9010,80100,1,0,[0|0|0]
20,Point Forwards,1,0,[0|0|0],9011,80200,1,0,[0|0|0]
21,Point Upwards,1,0,[0|0|0],9012,80210,1,0,[0|0|0]
22,Point Downwards,1,0,[0|0|0],9013,80220,1,0,[0|0|0]
23,Beckon,1,0,[0|0|0],9014,80230,1,0,[0|0|0]
24,Wait!,1,0,[0|0|0],9015,80240,1,0,[0|0|0]
25,Calm Down!,1,0,[0|0|0],9016,80250,1,0,[0|0|0]
30,Nod In Thought,1,0,[0|0|0],9017,80300,1,0,[0|0|0]
40,Extreme Repentance,1,0,[0|0|0],9018,80400,1,0,[0|0|0]
41,Grovel For Mercy,1,0,[0|0|0],9019,80410,1,0,[0|0|0]
50,Rallying Cry,0,0,[0|0|0],9020,80500,1,0,[0|0|0]
51,Heartening Cry,1,0,[0|0|0],9021,80510,1,0,[0|0|0]
52,By My Sword,0,0,[0|0|0],9022,80520,1,0,[0|0|0]
53,Hoslow's Oath,0,0,[0|0|0],9023,80530,1,0,[0|0|0]
54,Fire Spur Me,0,0,[0|0|0],9024,80540,1,0,[0|0|0]
55,The Carian Oath (Cut?),1,0,[0|0|0],9025,80550,1,0,[0|0|0]
60,Bravo!,1,0,[0|0|0],9026,80600,1,0,[0|0|0]
70,Jump for Joy,0,0,[0|0|0],9027,80700,1,0,[0|0|0]
71,Triumphant Delight,1,0,[0|0|0],9028,80710,1,0,[0|0|0]
72,Fancy Spin,1,0,[0|0|0],9029,80720,1,0,[0|0|0]
73,Finger Snap,1,0,[0|0|0],9030,80730,1,0,[0|0|0]
80,Dejection,0,0,[0|0|0],9031,80800,1,0,[0|0|0]
90,Patches' Crouch,1,0,[0|0|0],9032,80900,1,0,[0|0|0]
91,Crossed Legs,1,0,[0|0|0],9033,80910,1,0,[0|0|0]
92,Rest,0,0,[0|0|0],9034,80920,1,0,[0|0|0]
93,Sitting Sideways,1,0,[0|0|0],9035,80930,1,0,[0|0|0]
94,Dozing Cross-Legged,1,0,[0|0|0],9036,80940,1,0,[0|0|0]
95,Spread Out,1,0,[0|0|0],9037,80950,1,0,[0|0|0]
96,Fetal Position (Cut?),1,0,[0|0|0],9038,80960,1,0,[0|0|0]
97,Balled Up,1,0,[0|0|0],9039,80970,1,0,[0|0|0]
98,What Do You Want?,0,0,[0|0|0],9040,80980,1,0,[0|0|0]
100,Prayer,1,0,[0|0|0],9041,81000,1,0,[0|0|0]
101,Desperate Prayer,0,0,[0|0|0],9042,81010,1,0,[0|0|0]
102,Rapture,1,0,[0|0|0],9043,81020,1,0,[0|0|0]
103,Erudition,1,0,[0|0|0],9045,81030,1,0,[0|0|0]
104,Outer Order,1,0,[0|0|0],9046,81040,1,0,[0|0|0]
105,Inner Order,1,0,[0|0|0],9047,81050,1,0,[0|0|0]
106,Golden Order Totality,1,0,[0|0|0],9048,81060,1,0,[0|0|0]
108,The Ring,1,0,[0|0|0],9049,81080,1,0,[0|0|0]
109,The Ring (Duplicate?),1,0,[0|0|0],9050,81080,1,0,[0|0|0]
110,Unused,1,0,[0|0|0],9044,81100,1,0,[0|0|0]
