ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,eventFlagId,distViewEventFlagId,iconId,bgmPlaceType,isAreaIcon,isOverrideDistViewMarkPos,isEnableNoText,pad3,areaNo_forDistViewMark,gridXNo_forDistViewMark,gridZNo_forDistViewMark,clearedEventFlagId,dispMask00,dispMask01,dispMask02,pad2_0,pad2,distViewIconId,angle,areaNo,gridXNo,gridZNo,pad,posX,posY,posZ,textId1,textEnableFlagId1,textDisableFlagId1,textId2,textEnableFlagId2,textDisableFlagId2,textId3,textEnableFlagId3,textDisableFlagId3,textId4,textEnableFlagId4,textDisableFlagId4,textId5,textEnableFlagId5,textDisableFlagId5,textId6,textEnableFlagId6,textDisableFlagId6,textId7,textEnableFlagId7,textDisableFlagId7,textId8,textEnableFlagId8,textDisableFlagId8,textType1,textType2,textType3,textType4,textType5,textType6,textType7,textType8,distViewId,posX_forDistViewMark,posY_forDistViewMark,posZ_forDistViewMark,distViewId1,distViewId2,distViewId3,dispMinZoomStep,selectMinZoomStep,entryFEType,unknown_0xb7,unknown_0xb8,unknown_0xb9,pad4,textEnableFlag2Id1,textEnableFlag2Id2,textEnableFlag2Id3,textEnableFlag2Id4,textEnableFlag2Id5,textEnableFlag2Id6,textEnableFlag2Id7,textEnableFlag2Id8,textDisableFlag2Id1,textDisableFlag2Id2,textDisableFlag2Id3,textDisableFlag2Id4,textDisableFlag2Id5,textDisableFlag2Id6,textDisableFlag2Id7,textDisableFlag2Id8,
78500,,1,0,[0|0|0],78500,0,83,999,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-140.27,60,47,51,0,-4.64,999.19,-24.16,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,1,0,0,83,0,[0|0|0|0|0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78501,,1,0,[0|0|0],78501,0,83,999,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-143.36,60,49,53,0,78.93,1559.27,100.96,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,1,0,0,83,0,[0|0|0|0|0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78502,,1,0,[0|0|0],78502,0,83,999,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-139.97,60,51,56,0,-2.86,1611.14,-43.15,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,1,0,0,83,0,[0|0|0|0|0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78503,,1,0,[0|0|0],78503,0,83,999,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-40.85,60,52,57,0,82.48,1625.79,77.83,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,1,0,0,83,0,[0|0|0|0|0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78504,,1,0,[0|0|0],78504,0,83,999,0,0,1,0,0,0,0,0,1,0,0,0,0,0,97.9,60,54,55,0,-30.39,1625.56,62.3,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,1,0,0,83,0,[0|0|0|0|0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78505,,1,0,[0|0|0],78505,0,83,999,0,0,1,0,0,0,0,0,1,0,0,0,0,0,18.13,60,52,56,0,42.35,1667.12,-126.1,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,1,0,0,83,0,[0|0|0|0|0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78506,,1,0,[0|0|0],78506,0,83,999,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6.61,60,52,54,0,-53.68,1706.52,66.82,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,1,0,0,83,0,[0|0|0|0|0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78507,,1,0,[0|0|0],78507,0,83,999,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-95.09,60,52,53,0,-79.18,1802.8,-46.09,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,1,0,0,83,0,[0|0|0|0|0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78510,,1,0,[0|0|0],78510,0,83,999,0,0,1,0,0,0,0,0,1,0,0,0,0,0,129.23,60,51,57,0,121.4,1670.8,-39.36,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,1,0,0,83,0,[0|0|0|0|0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78511,,1,0,[0|0|0],78511,0,83,999,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-146,60,51,57,0,-15.99,1596.46,59.94,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,1,0,0,83,0,[0|0|0|0|0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
