ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,ParamStr,
203000,,1,0,[0|0|0],c2030
203001,,1,0,[0|0|0],c2030_B
211000,,1,0,[0|0|0],c2110
212000,,1,0,[0|0|0],c2120
213000,,0,0,[0|0|0],c2130_A
213001,,1,0,[0|0|0],c2130_B
219000,,1,0,[0|0|0],c2190
356000,,1,0,[0|0|0],c3560
451000,,1,0,[0|0|0],c4510
452000,,1,0,[0|0|0],c4520
467000,,1,0,[0|0|0],c4670
471000,,1,0,[0|0|0],c4710
472000,,1,0,[0|0|0],c4720
472001,,1,0,[0|0|0],c4720_B
473000,,1,0,[0|0|0],c4730
475000,,1,0,[0|0|0],c4750
476000,,1,0,[0|0|0],c4760
480000,,1,0,[0|0|0],c4800
502000,,1,0,[0|0|0],c5020
503000,,1,0,[0|0|0],c5030
505000,,1,0,[0|0|0],c5050
512000,,1,0,[0|0|0],c5120
513000,,1,0,[0|0|0],c5130
520000,,1,0,[0|0|0],c5200
521000,,1,0,[0|0|0],c5210
522000,,1,0,[0|0|0],c5220
523000,,1,0,[0|0|0],c5230
530000,,1,0,[0|0|0],c5300
920100,,1,0,[0|0|0],MidBoss_DeathGenus
920200,,0,0,[0|0|0],MidBoss_TreeKnights
920300,,0,0,[0|0|0],MidBoss_Wyvern
920400,,1,0,[0|0|0],MidBoss_UgRemains
920500,,1,0,[0|0|0],MidBoss_CarianRoyal
920600,,1,0,[0|0|0],MidBoss_TreeDaemon
920700,,1,0,[0|0|0],MidBoss_Aster
920800,,1,0,[0|0|0],MidBoss_MeteoricIronBeast
920900,,0,0,[0|0|0],MidBoss_BasementRoom
921000,,1,0,[0|0|0],MidBoss_DarkKnights
921100,,1,0,[0|0|0],MidBoss_NewCircle
921200,,1,0,[0|0|0],MidBoss_Creepy
921300,,1,0,[0|0|0],MidBoss_FieldDragon
921400,,1,0,[0|0|0],MidBoss_Wolf
921500,,1,0,[0|0|0],MidBoss_BlackSword
921600,,1,0,[0|0|0],MidBoss_DaemonPhantom
921700,,1,0,[0|0|0],MidBoss_DeepBlood
925000,,0,0,[0|0|0],MidBoss_CircleEvent
930000,,0,0,[0|0|0],MidBoss_Catacombs
931000,,0,0,[0|0|0],MidBoss_Cave
932000,,0,0,[0|0|0],MidBoss_Tunnel
940000,,1,0,[0|0|0],MidBoss_Catacombs_B
941000,,1,0,[0|0|0],MidBoss_Prison
942000,,1,0,[0|0|0],MidBoss_Godman
943000,,1,0,[0|0|0],MidBoss_Melee
944000,,1,0,[0|0|0],MidBoss_MeleeLast
950000,,1,0,[0|0|0],MidBoss_Fortress
10000000,,1,0,[0|0|0],None
10000001,,1,0,[0|0|0],_BgmSilent
10000002,,1,0,[0|0|0],c2030
10000003,,1,0,[0|0|0],c2120
10000004,,1,0,[0|0|0],c2130_A
10000005,,1,0,[0|0|0],c2130_B
10000006,,1,0,[0|0|0],c3560
10000007,,1,0,[0|0|0],c4670
10000008,,1,0,[0|0|0],c4720
10000009,,1,0,[0|0|0],c4730
10000010,,1,0,[0|0|0],c4750
10000011,,1,0,[0|0|0],MidBoss_Catacombs
10000012,,1,0,[0|0|0],MidBoss_Cave
10000013,,1,0,[0|0|0],MidBoss_Fortress
10000014,,1,0,[0|0|0],FieldStrongEnemyA
10000015,,1,0,[0|0|0],FieldStrongEnemyB
10000016,,1,0,[0|0|0],MidBoss_Tunnel
10000017,,1,0,[0|0|0],MidBoss_DeathGenus
10000018,,1,0,[0|0|0],MidBoss_TreeKnights
10000019,,1,0,[0|0|0],_BgmSilent_MistWall
10000020,,1,0,[0|0|0],MidBoss_CircleEvent
10000021,,1,0,[0|0|0],c4710
10000022,,1,0,[0|0|0],MidBoss_Wyvern
10000023,,1,0,[0|0|0],MidBoss_UgRemains
10000024,,1,0,[0|0|0],c4720_B
10000025,,1,0,[0|0|0],c2030_B
10000026,,1,0,[0|0|0],c4800
10000027,,1,0,[0|0|0],c4510
10000028,,1,0,[0|0|0],MidBoss_TreeDaemon
10000029,,1,0,[0|0|0],MidBoss_Aster
10000030,,1,0,[0|0|0],MidBoss_MeteoricIronBeast
10000031,,1,0,[0|0|0],MidBoss_BasementRoom
10000032,,1,0,[0|0|0],c2110
10000033,,1,0,[0|0|0],c2190
10000034,,1,0,[0|0|0],c4520
10000035,,1,0,[0|0|0],c4760
10000036,,1,0,[0|0|0],MidBoss_CarianRoyal
10000037,,1,0,[0|0|0],MidBoss_DarkKnights
10000038,,1,0,[0|0|0],MidBoss_NewCircle
10000039,,1,0,[0|0|0],MidBoss_Creepy
10000040,,1,0,[0|0|0],MidBoss_FieldDragon
10000041,,1,0,[0|0|0],MidBoss_Wolf
10000042,,1,0,[0|0|0],MidBoss_BlackSword
10000043,,1,0,[0|0|0],MidBoss_DaemonPhantom
10000044,,1,0,[0|0|0],MidBoss_DeepBlood
10000045,,1,0,[0|0|0],EventBoss_Reserved08
10000046,,1,0,[0|0|0],EventBoss_Reserved09
10000047,,1,0,[0|0|0],EventBoss_Reserved10
10000048,,1,0,[0|0|0],EventBoss_Reserved11
10000049,,1,0,[0|0|0],EventBoss_Reserved12
10000050,,1,0,[0|0|0],EventBoss_Reserved13
10000051,,1,0,[0|0|0],EventBoss_Reserved14
10000052,,1,0,[0|0|0],EventBoss_Reserved15
10000053,,1,0,[0|0|0],FieldBoss_Lv02
10000054,,1,0,[0|0|0],FieldBoss_Lv03
10000055,,1,0,[0|0|0],FieldBoss_Lv04
10000056,,1,0,[0|0|0],FieldBoss_Lv05
10000057,,1,0,[0|0|0],FieldBoss_Lv06
10000058,,1,0,[0|0|0],FieldBoss_Lv07
10000059,,1,0,[0|0|0],FieldBoss_Lv08
10000060,,1,0,[0|0|0],FieldBoss_Lv09
10000061,,1,0,[0|0|0],FieldBoss_Lv10
10000062,,1,0,[0|0|0],FieldBoss_Lv11
10000063,,1,0,[0|0|0],FieldBoss_Lv12
10000064,,1,0,[0|0|0],FieldBoss_Lv13
10000065,,1,0,[0|0|0],FieldBoss_Lv14
10000066,,1,0,[0|0|0],FieldBoss_Lv15
10000067,,1,0,[0|0|0],FieldBoss_Lv16
10000068,,1,0,[0|0|0],FieldBoss_Lv17
10000069,,1,0,[0|0|0],FieldBoss_Lv18
10000070,,1,0,[0|0|0],FieldBoss_Lv19
10000071,,1,0,[0|0|0],FieldBoss_Lv20
