ID,Name,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,
10,,0,12632256,-1,-1,-1,0,1,0
15,,0,10790052,-1,-1,-1,0,1,0
16,,0,9474192,-1,-1,-1,65888,16777216,65536
17,,0,9486480,-1,-1,-1,65904,16777216,16777216
20,,0,15515840,-1,-1,-1,0,1,0
21,,0,14729408,-1,-1,-1,65606,16777216,65536
22,,0,14717072,-1,-1,-1,65606,16777216,65536
23,,0,14729360,-1,-1,-1,65606,16777216,16777216
25,,0,14647040,-1,-1,-1,16777216,0,0
30,,0,6316128,-1,-1,-1,0,1,0
35,,0,6332512,-1,-1,-1,0,256,0
36,,0,6356832,-1,-1,-1,65936,0,1
37,,0,6332671,-1,-1,-1,65936,0,1
40,,0,10510432,-1,-1,-1,0,1,0
41,,0,10367152,-1,-1,-1,66066,16777216,65536
42,,0,13775024,-1,-1,-1,16777216,0,0
45,,0,6332576,-1,-1,-1,0,0,0
46,,0,6324352,-1,-1,-1,65836,0,65536
47,,0,10518656,-1,-1,-1,65816,0,65536
48,,0,13795456,-1,-1,-1,65816,0,65536
50,,0,16711680,-1,-1,-1,0,1,0
51,,0,16761024,-1,-1,-1,65686,16777216,65536
52,,0,8409984,-1,-1,-1,65606,16777216,0
53,,0,12598592,-1,-1,-1,65606,16777216,0
54,,0,16711808,-1,-1,-1,65606,16777216,0
55,,0,8391296,-1,-1,-1,65606,65536,1
56,,0,16737280,-1,-1,-1,16777216,256,0
60,,0,16776960,-1,-1,-1,0,0,0
61,,0,14737504,-1,-1,-1,65736,0,65536
65,,0,255,-1,-1,-1,0,0,0
70,,0,33023,-1,-1,-1,0,0,0
71,,0,6342112,-1,-1,-1,65888,0,65536
72,,0,16639,-1,-1,-1,65888,0,0
80,,0,65280,-1,-1,-1,0,0,0
81,,0,8405247,-1,-1,-1,0,0,0
90,,0,14474495,-1,-1,-1,0,0,0
91,,0,14418175,-1,-1,-1,0,0,0
92,,0,14418116,-1,-1,-1,0,1,0
93,,0,14417950,-1,-1,-1,16777216,256,0
100,,0,65535,-1,-1,-1,0,1,0
101,,0,6349024,-1,-1,-1,130872,16777216,65536
102,,0,3190960,-1,-1,-1,130872,16777216,65536
103,,0,1612956,-1,-1,-1,130872,16777216,0
104,,0,14720156,-1,-1,-1,130872,16777216,256
105,,0,16639,-1,-1,-1,130872,16777216,0
106,,0,49407,-1,-1,-1,130872,16777216,0
107,,0,6348928,-1,-1,-1,130872,16777216,0
255,,0,0,-1,-1,-1,0,0,0
