ID,Name,lv01_BorderDist,lv01_PlayDist,lv12_BorderDist,lv12_PlayDist,lv23_BorderDist,lv23_PlayDist,lv34_BorderDist,lv34_PlayDist,lv45_BorderDist,lv45_PlayDist,tex_lv01_BorderDist,tex_lv01_PlayDist,enableCrossFade,drawDist,drawFadeRange,shadowDrawDist,shadowFadeRange,motionBlur_BorderDist,isPointLightShadowSrc,isDirLightShadowSrc,isShadowDst,isShadowOnly,drawByReflectCam,drawOnlyReflectCam,IncludeLodMapLv,isNoFarClipDraw,lodType,shadowDrawLodOffset,isTraceCameraXZ,isSkydomeDrawPhase,DistantViewModel_BorderDist,DistantViewModel_PlayDist,LimtedActivate_BorderDist_forGrid,LimtedActivate_PlayDist_forGrid,zSortOffsetForNoFarClipDraw,shadowDrawAlphaTestDist,fowardDrawEnvmapBlendType,LBDrawDistScaleParamID,resereve,
0,,25,5,25,5,25,5,25,5,25,5,25,5,0,2000,5,200,1,100,0,1,1,0,0,0,-1,0,1,0,0,0,-1,-1,-1,-1,0,50,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-2,-2,-2,-2,100,0,1,1,0,0,0,-1,0,1,0,0,0,-1,-1,-1,-1,0,-2,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
2,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-2,-2,-2,-2,100,0,1,1,0,0,0,-1,0,1,0,0,0,-1,-1,-1,-1,0,-2,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
3,,200,5,200,5,200,5,200,5,200,5,25,5,0,250,5,50,1,100,0,1,1,0,0,0,-1,0,1,0,0,0,-1,-1,-1,-1,0,50,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
4,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-2,-2,-2,-2,100,0,1,1,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,0,-2,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
5,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-2,-2,-2,-2,100,0,1,1,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,0,-2,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
6,,25,5,25,5,25,5,25,5,25,5,-1,-1,1,25,5,100,-1,100,1,1,1,0,0,0,-1,0,8,0,0,0,-1,-1,-1,-1,0,-1,0,1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
7,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-2,-2,-2,-2,100,1,1,1,0,0,0,-1,0,9,0,0,0,-1,-1,-1,-1,0,-2,0,2,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
8,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-7,-7,-7,-7,100,0,1,1,0,0,0,-1,0,10,0,0,0,-1,-1,-1,-1,0,-7,0,3,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
9,,25,5,25,5,25,5,25,5,25,5,-1,-1,1,100,5,40,-1,100,1,1,1,0,0,0,-1,0,9,0,0,0,-1,-1,-1,-1,0,-1,0,2,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
