ID,Name,lodRange,lod0ClusterType,lod1ClusterType,lod2ClusterType,pad0,distributionType,baseDensity,model0Name,flatTextureName,billboardTextureName,normalInfluence,inclinationMax,inclinationJitter,scaleBaseMin,scaleBaseMax,scaleHeightMin,scaleHeightMax,colorShade1_r,colorShade1_g,colorShade1_b,colorShade2_r,colorShade2_g,colorShade2_b,flatSplitType,flatBladeCount,flatSlant,flatRadius,castShadow,windAmplitude,pad1,windCycle,orientationAngle,orientationRange,spacing,dithering,pad,simpleModelName,model1Name,
7,Green Grass,210,1,5,5,[0|0],0,2.5,AEG001_061,AET005_004_a,AET005_004_a,90,30,0,90,110,55,120,180,180,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],AEG001_061,AEG001_062
8,Tall Green Grass Patches,211,1,5,5,[0|0],0,2,AEG001_063,AET005_004_a,AET005_004_a,90,30,0,60,110,20,105,180,180,100,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],AEG001_065,AEG001_064
42,Orange Grass,209,1,5,5,[0|0],0,2.5,AEG009_030,AET005_004_a,AET005_004_a,90,30,0,100,130,50,130,255,180,180,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],AEG009_031,AEG009_031
43,Orange Grass Patches,211,1,5,5,[0|0],0,1.5,AEG009_032,AET005_004_a,AET005_004_a,90,30,0,60,110,20,105,220,250,200,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],AEG009_031,AEG009_031
44,Grey Grass,210,1,5,0,[0|0],0,2,AEG001_296,AET005_004_a,AET005_004_a,90,30,0,85,110,65,110,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],AEG001_325,AEG001_297
45,Red Tall Grass,210,1,5,0,[0|0],0,2.5,AEG001_327,AET005_004_a,AET005_004_a,90,30,0,60,110,75,120,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],AEG001_284,AEG001_328
98,Grey Grass,210,1,5,0,[0|0],0,2,AEG001_366,AET005_004_a,AET005_004_a,90,30,0,85,110,75,110,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],AEG001_364,AEG001_367
118,Mixed Leaves,2,1,0,0,[0|0],0,1.4,AEG098_023,AET005_031_a,AET005_031_a,100,60,0,65,100,95,80,255,255,255,255,255,255,0,1,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],,
130,Pebbles,0,1,2,0,[0|0],0,1,AEG098_029,AET005_031_a,AET005_031_a,94,30,0,65,100,65,100,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],,
138,Dead Leaves,0,1,2,0,[0|0],0,1,AEG098_037,AET005_031_a,AET005_031_a,100,45,0,65,100,95,80,255,255,255,255,255,255,0,1,0,0,0,80,0,40,0,0,0,0,[0|0|0],,
139,Tall Brown Grass,0,1,2,2,[0|0],0,1,AEG098_038,AET240_800_a,AET240_800_a,90,45,5,95,105,95,105,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],,
140,Short Dark Green Grass,0,1,2,2,[0|0],0,1,AEG098_039,AET240_800_a,AET240_800_a,90,45,5,95,105,95,105,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],,
185,Skulls and Bones,10,1,5,5,[0|0],0,2,AEG098_080,AET005_031_a,AET005_031_a,100,30,0,65,100,65,100,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],,
187,Bigger Pebbles,10,1,0,0,[0|0],0,1,AEG098_079,AET005_031_a,AET005_031_a,100,30,0,65,100,65,100,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],,
195,Red Flowers,0,1,2,2,[0|0],0,1,AEG098_180,AET240_118_a,AET240_118_a,90,45,5,95,105,95,105,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],,
196,White Tall Flowers,0,1,2,2,[0|0],0,1,AEG098_181,AET240_118_a,AET240_118_a,90,45,5,95,105,95,105,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],,
197,Tall Reeds,0,1,2,2,[0|0],0,1,AEG098_084,AET240_118_a,AET240_118_a,90,45,5,95,105,95,100,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],AEG098_084,AEG098_084
206,Small Bushes,10,1,5,0,[0|0],0,0.15,AEG001_334,AET005_004_a,AET005_004_a,90,10,0,100,100,50,100,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],AEG001_334,AEG001_534
208,Blue Flowers,10,1,5,0,[0|0],0,0.7,AEG001_336,AET005_004_a,AET005_004_a,90,10,0,100,100,50,100,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],AEG001_254,AEG001_536
209,Waterlily-like Plants,10,1,5,0,[0|0],0,0.15,AEG001_337,AET005_004_a,AET005_004_a,90,10,0,100,100,50,100,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],AEG001_337,AEG001_537
210,Waterlily-like Plants (Thick),10,1,5,0,[0|0],0,0.05,AEG001_338,AET005_004_a,AET005_004_a,0,0,0,100,100,100,100,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],AEG001_338,AEG001_538
211,Dead Twigs,105,1,5,0,[0|0],0,0.15,AEG001_339,AET005_004_a,AET005_004_a,90,10,0,100,100,90,100,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],AEG001_339,AEG001_539
213,Tall Reed Patches,10,1,5,0,[0|0],0,0.1,AEG001_341,AET005_004_a,AET005_004_a,90,10,0,100,100,60,100,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],AEG001_341,AEG001_541
227,Short Grey Grass,10,1,5,0,[0|0],0,2,AEG040_004,AET005_004_a,AET005_004_a,90,30,0,85,110,50,80,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],AEG001_325,AEG040_005
263,Green Grass Varied,10,1,5,0,[0|0],0,1,AEG098_163,AET005_004_a,AET005_004_a,90,30,0,85,110,75,150,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],AEG098_163,AEG098_163
280,Dead Grey Leaves,0,1,2,0,[0|0],0,1,AEG098_182,AET005_031_a,AET005_031_a,100,45,0,65,100,95,80,255,255,255,255,255,255,0,1,0,0,0,80,0,40,0,0,0,0,[0|0|0],,
281,Tall Dark-Grey Grass,0,1,2,2,[0|0],0,1,AEG098_183,AET240_124_a,AET240_124_a,90,45,5,95,105,95,105,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],,
282,Short Dark-Grey Grass,0,1,2,2,[0|0],0,1,AEG098_184,AET240_124_a,AET240_124_a,90,45,5,95,105,95,105,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],,
284,Snow-White Grass,208,1,5,0,[0|0],0,2,AEG001_068,AET005_004_a,AET005_004_a,90,30,0,85,110,65,100,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],AEG001_377,AEG001_378
288,Feathers,0,1,2,0,[0|0],0,2.5,AEG098_189,AET250_461_a,AET250_461_a,90,30,0,95,105,95,105,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],,
295,Corpses,14,1,5,5,[0|0],0,1,AEG098_198,AET270_491_a,AET270_491_a,100,30,0,65,100,65,100,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],,AEG098_198
296,Rocks,14,1,5,5,[0|0],0,1,AEG098_199,,,100,30,0,65,100,65,100,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],,AEG098_199
300,Yellow Grass,110,1,5,5,[0|0],0,2,AEG210_557,,,90,30,0,100,130,50,130,180,180,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],,AEG210_558
311,Golden Leaves,2,1,0,0,[0|0],0,1.4,AEG098_236,AET005_031_a,AET005_031_a,100,60,0,65,100,95,80,255,255,255,255,255,255,0,1,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],,
317,Snow-White Grass & Red Flowers,208,1,5,0,[0|0],0,2,AEG098_302,AET005_004_a,AET005_004_a,90,30,0,85,110,65,100,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],AEG001_377,AEG001_378
337,Small Pebbles,14,1,2,0,[0|0],0,1,AEG098_156,AET005_031_a,AET005_031_a,100,30,0,30,160,90,130,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],,
338,Green Grass Varied,22,1,5,0,[0|0],0,1,AEG098_163,AET005_004_a,AET005_004_a,90,30,0,85,110,75,150,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],AEG098_163,AEG098_163
339,Cattail Plants,22,1,5,0,[0|0],0,1,AEG098_165,AET005_004_a,AET005_004_a,90,30,0,85,110,75,150,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],AEG098_165,AEG098_165
